tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour Grand Finals Doha 2016,2016-12-08,DING Ning,LEE Ho Ching,4,0,"14,11,11,11|12,7,5,6",R16,GRAND_SLAM,WS,420,Main Draw,DING Ning (CHN),LEE Ho Ching (HKG),DING Ning
World Tour Grand Finals Doha 2016,2016-12-08,HAN Ying,ITO Mima,4,2,"8,11,11,11,6,11|11,9,8,2,11,5",R16,GRAND_SLAM,WS,420,Main Draw,HAN Ying (GER),ITO Mima (JPN),HAN Ying
World Tour Grand Finals Doha 2016,2016-12-08,TIE Yana,ISHIGAKI Yuka,4,3,"9,7,12,11,6,11,11|11,11,10,6,11,7,4",R16,GRAND_SLAM,WS,420,Main Draw,TIE Yana (HKG),ISHIGAKI Yuka (JPN),TIE Yana
World Tour Grand Finals Doha 2016,2016-12-08,HIRANO Miu,FENG Tianwei,4,3,"6,4,11,11,7,11,11|11,11,9,6,11,5,4",R16,GRAND_SLAM,WS,420,Main Draw,HIRANO Miu (JPN),FENG Tianwei (SGP),HIRANO Miu
World Tour Grand Finals Doha 2016,2016-12-08,ZHU Yuling,SATO Hitomi,4,0,"11,11,11,11|3,6,5,3",R16,GRAND_SLAM,WS,420,Main Draw,ZHU Yuling (MAC),SATO Hitomi (JPN),ZHU Yuling
World Tour Grand Finals Doha 2016,2016-12-08,CHENG I-Ching,HAYATA Hina,4,0,"11,11,11,11|6,8,5,9",R16,GRAND_SLAM,WS,420,Main Draw,HAYATA Hina (JPN),CHENG I-Ching (TPE),CHENG I-Ching
World Tour Grand Finals Doha 2016,2016-12-08,YANG Ha Eun,SHAN Xiaona,4,3,"6,6,11,11,9,12,11|11,11,9,7,11,10,9",R16,GRAND_SLAM,WS,420,Main Draw,YANG Ha Eun (KOR),SHAN Xiaona (GER),YANG Ha Eun
World Tour Grand Finals Doha 2016,2016-12-08,ISHIKAWA Kasumi,SUH Hyo Won,4,3,"8,2,11,11,11,6,11|11,11,9,4,8,11,5",R16,GRAND_SLAM,WS,420,Main Draw,SUH Hyo Won (KOR),ISHIKAWA Kasumi (JPN),ISHIKAWA Kasumi
World Tour Grand Finals Doha 2016,2016-12-08,HAN Ying,DING Ning,4,0,,QF,GRAND_SLAM,WS,420,Main Draw,DING Ning (CHN),HAN Ying (GER),HAN Ying
World Tour Grand Finals Doha 2016,2016-12-08,HIRANO Miu,TIE Yana,4,3,"11,11,8,5,6,11,11|9,7,11,11,11,8,6",QF,GRAND_SLAM,WS,420,Main Draw,TIE Yana (HKG),HIRANO Miu (JPN),HIRANO Miu
World Tour Grand Finals Doha 2016,2016-12-08,ZHU Yuling,CHENG I-Ching,4,2,"8,10,12,11,11,11|11,12,10,8,8,7",QF,GRAND_SLAM,WS,420,Main Draw,ZHU Yuling (MAC),CHENG I-Ching (TPE),ZHU Yuling
World Tour Grand Finals Doha 2016,2016-12-08,ISHIKAWA Kasumi,YANG Ha Eun,4,2,"10,7,11,11,13,11|12,11,9,7,11,6",QF,GRAND_SLAM,WS,420,Main Draw,YANG Ha Eun (KOR),ISHIKAWA Kasumi (JPN),ISHIKAWA Kasumi
World Tour Grand Finals Doha 2016,2016-12-08,HAN Ying,HIRANO Miu,4,0,"11,11,11,11|2,4,3,5",SF,GRAND_SLAM,WS,420,Main Draw,HAN Ying (GER),HIRANO Miu (JPN),HAN Ying
World Tour Grand Finals Doha 2016,2016-12-08,ZHU Yuling,ISHIKAWA Kasumi,4,0,"16,11,11,11|14,3,8,6",SF,GRAND_SLAM,WS,420,Main Draw,ZHU Yuling (MAC),ISHIKAWA Kasumi (JPN),ZHU Yuling
World Tour Grand Finals Doha 2016,2016-12-08,ZHU Yuling,HAN Ying,4,0,"11,12,12,11|9,10,10,3",F,GRAND_SLAM,WS,420,Main Draw,HAN Ying (GER),ZHU Yuling (MAC),ZHU Yuling
World Tour Grand Finals Doha 2016,2016-12-08,LIAO Cheng-Ting,HO Kwan Kit,4,3,"4,8,5,11,11,13,11|11,11,11,7,8,11,9",QF,GRAND_SLAM,U21MS,420,Main Draw,HO Kwan Kit (HKG),LIAO Cheng-Ting (TPE),LIAO Cheng-Ting
World Tour Grand Finals Doha 2016,2016-12-08,AKKUZU Can,LIM Jonghoon,4,1,"7,11,11,11,12|11,6,8,6,10",QF,GRAND_SLAM,U21MS,420,Main Draw,AKKUZU Can (FRA),LIM Jonghoon (KOR),AKKUZU Can
World Tour Grand Finals Doha 2016,2016-12-08,OIKAWA Mizuki,PARK Ganghyeon,4,2,"11,11,11,8,11,16|4,5,13,11,7,14",QF,GRAND_SLAM,U21MS,420,Main Draw,OIKAWA Mizuki (JPN),PARK Ganghyeon (KOR),OIKAWA Mizuki
World Tour Grand Finals Doha 2016,2016-12-08,MURAMATSU Yuto,HARIMOTO Tomokazu,4,0,"11,11,11,11|3,6,2,5",QF,GRAND_SLAM,U21MS,420,Main Draw,HARIMOTO Tomokazu (JPN),MURAMATSU Yuto (JPN),MURAMATSU Yuto
World Tour Grand Finals Doha 2016,2016-12-08,LIAO Cheng-Ting,AKKUZU Can,4,0,"11,11,11,11|8,8,6,4",SF,GRAND_SLAM,U21MS,420,Main Draw,LIAO Cheng-Ting (TPE),AKKUZU Can (FRA),LIAO Cheng-Ting
World Tour Grand Finals Doha 2016,2016-12-08,MURAMATSU Yuto,OIKAWA Mizuki,4,1,"11,8,11,11,11|8,11,8,6,5",SF,GRAND_SLAM,U21MS,420,Main Draw,OIKAWA Mizuki (JPN),MURAMATSU Yuto (JPN),MURAMATSU Yuto
World Tour Grand Finals Doha 2016,2016-12-08,LIAO Cheng-Ting,MURAMATSU Yuto,4,0,"11,11,11,11|6,9,9,8",F,GRAND_SLAM,U21MS,420,Main Draw,LIAO Cheng-Ting (TPE),MURAMATSU Yuto (JPN),LIAO Cheng-Ting
World Tour Grand Finals Doha 2016,2016-12-08,DOO Hoi Kem,ZENG Jian,4,3,"11,7,16,11,5,11,11|7,11,18,8,11,2,5",QF,GRAND_SLAM,U21WS,420,Main Draw,ZENG Jian (SGP),DOO Hoi Kem (HKG),DOO Hoi Kem
World Tour Grand Finals Doha 2016,2016-12-08,KATO Miyu,MORI Sakura,4,3,"7,11,11,6,11,12,11|11,9,8,11,5,14,1",QF,GRAND_SLAM,U21WS,420,Main Draw,MORI Sakura (JPN),KATO Miyu (JPN),KATO Miyu
World Tour Grand Finals Doha 2016,2016-12-08,HAYATA Hina,MAEDA Miyu,4,1,"13,11,14,8,16|11,8,12,11,14",QF,GRAND_SLAM,U21WS,420,Main Draw,HAYATA Hina (JPN),MAEDA Miyu (JPN),HAYATA Hina
World Tour Grand Finals Doha 2016,2016-12-08,HAMAMOTO Yui,SHIBATA Saki,4,1,"11,11,11,9,11|8,8,3,11,7",QF,GRAND_SLAM,U21WS,420,Main Draw,SHIBATA Saki (JPN),HAMAMOTO Yui (AUT),HAMAMOTO Yui
World Tour Grand Finals Doha 2016,2016-12-08,DOO Hoi Kem,KATO Miyu,4,3,"11,9,5,11,5,11,11|7,11,11,3,11,8,6",SF,GRAND_SLAM,U21WS,420,Main Draw,DOO Hoi Kem (HKG),KATO Miyu (JPN),DOO Hoi Kem
World Tour Grand Finals Doha 2016,2016-12-08,HAYATA Hina,HAMAMOTO Yui,4,2,"11,11,6,11,7,11|9,2,11,7,11,9",SF,GRAND_SLAM,U21WS,420,Main Draw,HAYATA Hina (JPN),HAMAMOTO Yui (AUT),HAYATA Hina
World Tour Grand Finals Doha 2016,2016-12-08,HAYATA Hina,DOO Hoi Kem,4,1,"11,7,11,13,11|8,11,8,11,7",F,GRAND_SLAM,U21WS,420,Main Draw,DOO Hoi Kem (HKG),HAYATA Hina (JPN),HAYATA Hina
World Tour Grand Finals Doha 2016,2016-12-08,MA Long,LI Ping,4,2,"4,11,7,11,11,11|11,9,11,3,6,8",R16,GRAND_SLAM,MS,420,Main Draw,MA Long (CHN),LI Ping (QAT),MA Long
World Tour Grand Finals Doha 2016,2016-12-08,WONG Chun Ting,MATSUDAIRA Kenta,4,3,"6,12,11,13,11,14,11|11,14,8,11,9,16,8",R16,GRAND_SLAM,MS,420,Main Draw,MATSUDAIRA Kenta (JPN),WONG Chun Ting (HKG),WONG Chun Ting
World Tour Grand Finals Doha 2016,2016-12-08,CHUANG Chih-Yuan,OSHIMA Yuya,4,2,"11,11,10,4,11,11|8,7,12,11,4,9",R16,GRAND_SLAM,MS,420,Main Draw,CHUANG Chih-Yuan (TPE),OSHIMA Yuya (JPN),CHUANG Chih-Yuan
World Tour Grand Finals Doha 2016,2016-12-08,JEOUNG Youngsik,MIZUTANI Jun,4,3,"7,10,12,11,11,11,11|11,12,10,8,13,7,9",R16,GRAND_SLAM,MS,420,Main Draw,JEOUNG Youngsik (KOR),MIZUTANI Jun (JPN),JEOUNG Youngsik
World Tour Grand Finals Doha 2016,2016-12-08,XU Xin,CHEN Chien-An,4,0,"11,11,11,11|8,5,6,8",R16,GRAND_SLAM,MS,420,Main Draw,XU Xin (CHN),CHEN Chien-An (TPE),XU Xin
World Tour Grand Finals Doha 2016,2016-12-08,MURAMATSU Yuto,SAMSONOV Vladimir,4,3,"11,11,5,6,1,11,11|5,7,11,11,11,9,6",R16,GRAND_SLAM,MS,420,Main Draw,MURAMATSU Yuto (JPN),SAMSONOV Vladimir (BLR),MURAMATSU Yuto
World Tour Grand Finals Doha 2016,2016-12-08,OVTCHAROV Dimitrij,TANG Peng,4,1,"11,11,13,14,11|9,5,15,12,6",R16,GRAND_SLAM,MS,420,Main Draw,OVTCHAROV Dimitrij (GER),TANG Peng (HKG),OVTCHAROV Dimitrij
World Tour Grand Finals Doha 2016,2016-12-08,FAN Zhendong,NIWA Koki,4,1,"11,11,11,9,11|6,7,7,11,4",R16,GRAND_SLAM,MS,420,Main Draw,NIWA Koki (JPN),FAN Zhendong (CHN),FAN Zhendong
World Tour Grand Finals Doha 2016,2016-12-08,MA Long,WONG Chun Ting,4,0,"11,11,11,11|4,3,6,5",QF,GRAND_SLAM,MS,420,Main Draw,MA Long (CHN),WONG Chun Ting (HKG),MA Long
World Tour Grand Finals Doha 2016,2016-12-08,JEOUNG Youngsik,CHUANG Chih-Yuan,4,2,"11,10,11,11,12,11|13,12,6,7,10,1",QF,GRAND_SLAM,MS,420,Main Draw,CHUANG Chih-Yuan (TPE),JEOUNG Youngsik (KOR),JEOUNG Youngsik
World Tour Grand Finals Doha 2016,2016-12-08,XU Xin,MURAMATSU Yuto,4,0,"11,11,11,11|2,6,5,4",QF,GRAND_SLAM,MS,420,Main Draw,XU Xin (CHN),MURAMATSU Yuto (JPN),XU Xin
